company_name,count
Telltale Games,22
Sandlot Games,17
Playloft,15
Simulators Live,15
Sports Interactive,14
Visual Concepts,11
Vladimir Maslov,9
Out Of The Park Developments,7
Slightly Mad Studios,7
Gameloft,7
Codemasters,7
Daily Magic Productions,6
Stainless Games Ltd.,6
David Mulder,6
Codemasters Birmingham,6
From Soy Sauce LLC,5
Konami,5
"Tricol Co., Ltd.",5
Oddfellows Software,5
id Software,5
PopCap Games,5
Capcom,5
Konami Digital Entertainment,5
dev4play,4
Epic Games,4
Trion Worlds,4
Blue Byte Software,4
Ubisoft Bucharest,4
Dovetail Games,4
CCP Games,4
Warfare Sims,4
Viva Media,4
ERS G Studios,4
TransGaming Inc.,4
Techland,4
Blue Byte,4
Ubisoft Montreal,4
Square Enix,4
GRIN,4
Rockstar North,4
Bluehole Studio,4
High Moon Studios,3
PlatinumGames,3
Sumo Digital,3
Full Control ApS,3
KISS ltd,3
Wicked Witch Software,3
Voltage Inc.,3
Farsky Interactive,3
The Secret Location,3
Dimps,3
HB Studios,3
Cliffhanger Productions,3
FUN Labs,3
Human Head Studios,3
Gust,3
IO Interactive,3
NetEase Games,3
Apogee Software,3
Nomad Games,3
BonusXP,3
Razorworks Studios,3
Codemasters Southam,3
SakuraGame,3
Monolith Productions,3
Artifex Mundi,3
caves rd,3
FrozenShard Games,3
FiveDead Interactive Inc.,3
DMA Design,3
Bohemia Interactive,3
The Moon Pirates,3
Happy Hobgoblin,3
Vertigo Games,3
"Atari, Inc.",3
OneShark,3
Alfa-Omega,3
Glitch Games Ltd,3
Meridian4,3
Novus Res,2
Uber Entertainment,2
Stardock,2
Free Range Games,2
"Namco Networks America, Inc.",2
GKD Game Studio,2
High Voltage Software,2
Terminal Reality,2
IPACS,2
Ubisoft Paris,2
Bandai Namco Studios,2
Chainsawesome Games,2
Zombie Studios,2
Magic House,2
Pippala Games,2
Black Cloud Studios,2
Spicy Horse Games,2
Mediatonic,2
Silden,2
AWE Productions,2
Hatrabbit Entertainment,2
Televisor,2
Soma Games,2
Petroglyph Games,2
Infinity Hentai,2
FuturLab,2
(Archive) Triority,2
Blazes Games,2
Shanghai YiJun Network Info Technologies Inc.,2
Raven Software,2
Ebullience Games,2
Nival,2
Saber Interactive,2
Ima Create,2
Wild Games Studio,2
"Dejobaan Games, LLC",2
Ubisoft Shanghai,2
Behaviour Interactive,2
Shortbreak Studios s.c.,2
Skybox Labs,2
Activision,2
"Gambit Games Studio, LLC",2
KinifiGames LLC,2
Rockin' Android,2
Gamer Girl,2
Narko Games,2
Dieselmine,2
NAISU,2
Afterthought Games,2
Nooskewl,2
Quantized Bit,2
Dreambakers,2
"Hassey Enterprises, Inc",2
Epic Works,2
1C: Maddox Games,2
"Proletariat, Inc.",2
D.W.S.,2
Days of Wonder,2
Julian Glander,2
Angela Game,2
Ivanovich Games,2
Membraine Studios,2
Camex Games,2
80Arcade,2
CloudScapeGT,2
Tennen-sozai,2
Section Studios,2
Labrodex Inc,2
Webzen,2
Auroch Digital,2
MLB Advanced Media,2
Obsidian Entertainment,2
FromSoftware,2
Ragequit Corporation,2
Studio CloudScape,2
Big Moustache Games,2
Eipix Entertainment,2
Creative Freaks Inc.,2
Daybreak Game Company,2
Hoplon,2
Monte Cristo,2
TURBO TAPE GAMES,2
Asmodee Digital,2
"38,9_Degrees",2
Magicbane,2
Vicarious Visions,2
n-Space,2
Vostok Games,2
Stonebirds,2
Santa Clara Games,2
Zoe Mode,2
EA Digital Illusions CE,2
Criterion Games,2
Free Reign Entertainment,2
MumboJumbo,2
Sameer Hirezi,2
Ubisoft San Francisco,2
Reflexive Entertainment,2
Vicious Cycle Software,2
Nimble Neuron,2
"L&K Logic Korea Co., Ltd.",2
The Chinese Room,2
Yuke's,2
Eden Industries,2
Nordcurrent,2
Blue Horizon Studios,2
Rocksteady Studios,2
Pirate Games,2
WayForward,2
Xaviant,2
Starbreeze Studios,2
Kisareth Studios,2
Related Designs,2
Eurocom Entertainment Software,2
Crystal Dynamics,2
OctoBox Interactive,2
BioWare Edmonton,2
Uncle Frost Team,2
TopVR,1
Shiny Entertainment,1
Verae Games,1
Rufoid AB,1
AlienX,1
Gravity Lagoon,1
rusimarudou,1
Starcade Arcade,1
ZeptoLab,1
Nick Antonopoulos,1
Dino Dini,1
Hardsuit Labs,1
Tbjbu2,1
Hot Lava Games,1
Ravenous Games Inc.,1
Independent Arts Software,1
Torus Games,1
Remainder Studios,1
Pixel Federation,1
West Dragon Productions DR,1
Pillow Pig Games,1
SEGA Racing Studio,1
Binary Planets,1
"NStorm, Inc.",1
Zelart,1
Bugbear Entertainment,1
Ennoble Studios,1
Sourabh P Hamigi,1
Munigis,1
A2M,1
Deckbound,1
Wild Sphere,1
Summitsphere,1
Hope Studio,1
Dylan Cassidy,1
Oleg Skutte,1
CreateVR,1
Paradigm Entertainment,1
Juice Games,1
Action Portal,1
HexWar Games,1
"3 Minute Games, LLC",1
Perpetual Motion Studios,1
Colopl NI,1
SHIFTRICK,1
Egidijus Bachur,1
Neuron Studio,1
