Owners,AppID,Name,Type,Changed,Kinguin,Achievements
77.48%,43110,Metro 2033,Purchase disabled,03/2021,15.89,48
71.18%,35420,Killing Floor Mod: Defence Alliance 2,Purchase disabled,09/2022,,30
68.04%,310560,DiRT Rally,Purchase disabled,11/2022,,170
67.58%,43160,Metro: Last Light Complete Edition,Delisted,05/2023,9.07,70
67.35%,863550,HITMAN? 2,Purchase disabled,01/2023,,146
66.56%,44350,GRID 2,Purchase disabled,08/2019,3.96,60
61.88%,236870,HITMAN?,Purchase disabled,01/2023,,69
61.74%,321040,DiRT 3 Complete Edition,Delisted,12/2016,3.51,?
56.20%,201700,DiRT Showdown,Delisted,02/2017,0.72,?
55.88%,12120,Grand Theft Auto: San Andreas,Purchase disabled,10/2021,,0
55.38%,12110,Grand Theft Auto: Vice City,Purchase disabled,10/2021,,0
55.38%,12240,Grand Theft Auto: Vice City,Delisted,10/2021,,?
55.32%,12250,Grand Theft Auto: San Andreas,Purchase disabled,10/2021,,0
55.22%,286570,F1 2015,Purchase disabled,03/2022,,45
54.61%,12100,Grand Theft Auto III,Purchase disabled,10/2021,,0
54.61%,12230,Grand Theft Auto III,Purchase disabled,10/2021,,?
52.08%,12750,GRID,Delisted,12/2016,11.63,?
51.33%,737800,F1 2018,Purchase disabled,03/2022,,50
51.15%,252150,Grimm,F2P (unavailable),06/2022,,0
49.73%,13250,Unreal Gold,Purchase disabled,12/2022,,0
49.41%,760620,Deiland,Delisted,08/2021,4.6,24
45.82%,34010,Alpha Protocol,Purchase disabled,06/2019,27.51,0
45.48%,252950,Rocket League,Purchase disabled,09/2020,224.12,88
45.40%,31280,Poker Night at the Inventory,Purchase disabled,05/2019,69.7,20
45.03%,200940,Sonic CD,Purchase disabled,05/2022,,12
44.58%,224220,Pressure,Delisted,06/2017,0.35,22
43.94%,1076280,Showdown Bandit,Purchase disabled,06/2020,,8
43.49%,91310,Dead Island,Delisted,06/2016,24.38,?
43.00%,795100,Friday the 13th: Killer Puzzle,F2P (unavailable),01/2023,,60
42.82%,1013310,Peaky Blinders: Mastermind,Purchase disabled,12/2022,,30
42.59%,368420,Mirage: Arcane Warfare,Delisted,05/2018,1.13,0
42.25%,254040,Pirates of Black Cove Gold,Retail only,09/2016,0.22,?
41.82%,1078000,Gamecraft,F2P (unavailable),01/2021,,0
41.70%,227940,Heroes & Generals,F2P (unavailable),05/2023,,0
40.85%,222900,Dead Island: Epidemic,F2P (unavailable),10/2015,,54
40.35%,247120,Portal 2 Sixense Perceptual Pack,F2P (unavailable),08/2022,,0
40.32%,254000,East India Company Gold,Retail only,09/2016,1.06,?
40.06%,24740,Burnout Paradise: The Ultimate Box,Purchase disabled,06/2020,2.59,0
